Isotope conc Coh b Abs xs: see http://www.ncnr.nist.gov/resources/n-lengths/index.html 
H 	NOVAL 	-3.7390 	0.3326 
1H 	99.985 	-3.7406 	0.3326 
2H 	0.015 	6.671 	0.000519 
3H 	(12.32 a) 	4.792 	0 
He 	NOVAL 	3.26(3) 	0.00747 
3He 	0.00014 	5.74-1.483i 	5333(7) 
4He 	99.99986 	3.26 	0 
Li 	NOVAL 	-1.90 	70.5 
6Li 	7.5 	2.00-0.261i 	940(4) 
7Li 	92.5 	-2.22 	0.0454 
Be 	100 	7.79 	0.0076 
B 	NOVAL 	5.30-0.213i 	767(8) 
10B 	20 	-0.1-1.066i 	3835(9) 
11B 	80 	6.65 	0.0055 
C 	NOVAL 	6.6460 	0.0035 
12C 	98.9 	6.6511 	0.00353 
13C 	1.1 	6.19 	0.00137 
N 	NOVAL 	9.36 	1.9 
14N 	99.63 	9.37 	1.91 
15N 	0.37 	6.44 	0.000024 
O 	NOVAL 	5.803 	0.00019 
16O 	99.762 	5.803 	0.0001 
17O 	0.038 	5.78 	0.236 
18O 	0.2 	5.84 	0.00016 
F 	100 	5.654 	0.0096 
Ne 	NOVAL 	4.566 	0.039 
20Ne 	90.51 	4.631 	0.036 
21Ne 	0.27 	6.66 	0.67 
22Ne 	9.22 	3.87 	0.046 
Na 	100 	3.63 	0.53 
Mg 	NOVAL 	5.375 	0.063 
24Mg 	78.99 	5.66 	0.05 
25Mg 	10 	3.62 	0.19 
26Mg 	11.01 	4.89 	0.0382 
Al 	100 	3.449 	0.231 
Si 	NOVAL 	4.1491 	0.171 
28Si 	92.23 	4.107 	0.177 
29Si 	4.67 	4.70 	0.101 
30Si 	3.1 	4.58 	0.107 
P 	100 	5.13 	0.172 
S 	NOVAL 	2.847 	0.53 
32S 	95.02 	2.804 	0.54 
33S 	0.75 	4.74 	0.54 
34S 	4.21 	3.48 	0.227 
36S 	0.02 	3(1) 	0.15 
Cl 	NOVAL 	9.5770 	33.5 
35Cl 	75.77 	11.65 	44.1 
37Cl 	24.23 	3.08 	0.433 
Ar 	NOVAL 	1.909 	0.675 
36Ar 	0.337 	24.90 	5.2 
38Ar 	0.063 	3.5 	0.8 
40Ar 	99.6 	1.830 	0.66 
K 	NOVAL 	3.67 	2.1 
39K 	93.258 	3.74 	2.1 
40K 	0.012 	3(1) 	35(8) 
41K 	6.73 	2.69 	1.46 
Ca 	NOVAL 	4.70 	0.43 
40Ca 	96.941 	4.80 	0.41 
42Ca 	0.647 	3.36 	0.68 
43Ca 	0.135 	-1.56 	6.2 
44Ca 	2.086 	1.42 	0.88 
46Ca 	0.004 	3.6 	0.74 
48Ca 	0.187 	0.39 	1.09 
Sc 	100 	12.29 	27.5 
Ti 	NOVAL 	-3.438 	6.09 
46Ti 	8.2 	4.93 	0.59 
47Ti 	7.4 	3.63 	1.7 
48Ti 	73.8 	-6.08 	7.84 
49Ti 	5.4 	1.04 	2.2 
50Ti 	5.2 	6.18 	0.179 
V 	NOVAL 	-0.3824 	5.08 
